X,Y,E
0, ,
-20.1034,0.0629791,0.02481
-19.9824,0.0564445,0.0230792
-19.8614,0.0966661,0.0306178
-19.7404,0.0684691,0.0259367
-19.6194,0.0571191,0.0233499
-19.4985,0.117811,0.0340592
-19.3775,0.03949,0.0197617
-19.2565,0.0293916,0.0170054
-19.1355,0.095431,0.030225
-19.0145,0.0978522,0.0309765
-18.8935,0.0394309,0.0197383
-18.7726,0.0684666,0.0259154
-18.6516,0.0872807,0.0291347
-18.5306,0.0711596,0.0264567
-18.4096,0.08538,0.0289057
-18.2886,0.058787,0.0240236
-18.1676,0.157257,0.0393879
-18.0467,0.0574292,0.023471
-17.9257,0.131676,0.0366499
-17.8047,0.0897839,0.0299536
-17.6837,0.124496,0.0353825
-17.5627,0.0947315,0.0306759
-17.4417,0.160915,0.0403107
-17.3208,0.11096,0.0336311
-17.1998,0.151026,0.0391773
-17.0788,0.109012,0.032969
-16.9578,0.148661,0.0386625
-16.8368,0.21613,0.0469533
-16.7158,0.224433,0.0479384
-16.5949,0.220628,0.0478061
-16.4739,0.22789,0.0481598
-16.3529,0.249177,0.0503616
-16.2319,0.250071,0.0506662
-16.1109,0.143752,0.0384851
-15.9899,0.259601,0.0520149
-15.869,0.2299,0.049112
-15.748,0.295656,0.0553775
-15.627,0.296424,0.0557091
-15.506,0.279604,0.054089
-15.385,0.290883,0.0550811
-15.264,0.320053,0.058259
-15.1431,0.469475,0.0712017
-15.0221,0.398338,0.0651272
-14.9011,0.425749,0.0674198
-14.7801,0.479,0.0712463
-14.6591,0.519384,0.0744543
-14.5381,0.606279,0.0808171
-14.4172,0.503402,0.0735104
-14.2962,0.684602,0.0859485
-14.1752,0.575873,0.0786111
-14.0542,0.66181,0.0845277
-13.9332,0.57559,0.0785397
-13.8122,0.554221,0.0769344
-13.6913,0.840127,0.0956653
-13.5703,0.978624,0.103402
-13.4493,0.894847,0.0990427
-13.3283,0.91827,0.100281
-13.2073,1.24505,0.116196
-13.0863,1.17815,0.113305
-12.9654,0.92536,0.100409
-12.8444,1.10553,0.110392
-12.7234,1.09544,0.109667
-12.6024,1.0924,0.109347
-12.4814,1.12181,0.11108
-12.3604,1.43146,0.125508
-12.2395,1.46269,0.126287
-12.1185,1.4687,0.126795
-11.9975,1.7639,0.139082
-11.8765,1.64361,0.134345
-11.7555,1.46113,0.127022
-11.6345,1.65574,0.134675
-11.5136,1.78048,0.139917
-11.3926,1.62962,0.133647
-11.2716,1.78918,0.140002
-11.1506,1.75626,0.138615
-11.0296,2.0294,0.149423
-10.9086,1.66946,0.134499
-10.7877,2.08616,0.150781
-10.6667,2.11738,0.152652
-10.5457,2.1541,0.153344
-10.4247,2.14015,0.153143
-10.3037,2.09009,0.151051
-10.1828,2.48759,0.164985
-10.0618,2.24889,0.156643
-9.94078,2.61873,0.169098
-9.8198,2.36739,0.160812
-9.69882,2.55654,0.167581
-9.57783,2.54918,0.166841
-9.45685,2.66758,0.171073
-9.33587,2.90937,0.178368
-9.21488,2.85973,0.177096
-9.0939,3.04682,0.182966
-8.97292,2.96241,0.180567
-8.85194,3.08887,0.184398
-8.73095,3.22894,0.188463
-8.60997,3.05526,0.182796
-8.48899,3.52457,0.196969
-8.368,3.12731,0.185575
-8.24702,3.63764,0.199907
-8.12604,3.3339,0.191916
-8.00505,3.83834,0.205594
-7.88407,3.59436,0.199
-7.76309,3.66698,0.201215
-7.6421,4.20197,0.215738
-7.52112,3.50818,0.196765
-7.40014,4.36197,0.219393
-7.27915,3.96923,0.209257
-7.15817,4.54607,0.224463
-7.03719,3.91472,0.208433
-6.9162,4.55826,0.224696
-6.79522,4.66043,0.227192
-6.67424,5.21945,0.240217
-6.55326,4.49657,0.222973
-6.43227,4.75222,0.229451
-6.31129,4.89587,0.233175
-6.19031,5.16816,0.239103
-6.06932,5.52619,0.247635
-5.94834,5.36826,0.243747
-5.82736,5.43488,0.245269
-5.70637,5.6469,0.25035
-5.58539,5.88167,0.256101
-5.46441,5.82775,0.254989
-5.34342,5.73139,0.252421
-5.22244,6.26423,0.26393
-5.10146,6.76703,0.274689
-4.98047,6.84197,0.275833
-4.85949,6.87203,0.275929
-4.73851,7.54187,0.289108
-4.61752,7.27008,0.283949
-4.49654,8.01389,0.298633
-4.37556,8.38027,0.304289
-4.25457,8.85956,0.313466
-4.13359,9.0775,0.316344
