X,Y,E
0
-20.1034,1.19645,0.181673
-19.9824,1.18147,0.181513
-19.8614,1.00201,0.167117
-19.7404,1.29412,0.189038
-19.6194,1.38819,0.199045
-19.4985,1.93531,0.234449
-19.3775,1.62805,0.216962
-19.2565,1.63099,0.214913
-19.1355,1.59042,0.211032
-19.0145,1.85528,0.230133
-18.8935,2.04293,0.241285
-18.7726,1.61556,0.214036
-18.6516,1.96578,0.235071
-18.5306,2.05975,0.241693
-18.4096,2.07104,0.242872
-18.2886,1.82576,0.229115
-18.1676,2.18881,0.249108
-18.0467,2.43734,0.26429
-17.9257,1.97562,0.237645
-17.8047,1.95441,0.236974
-17.6837,2.13752,0.245618
-17.5627,2.43709,0.264873
-17.4417,2.54894,0.269698
-17.3208,2.43123,0.266084
-17.1998,3.11989,0.299333
-17.0788,2.58341,0.27376
-16.9578,3.02666,0.295936
-16.8368,3.13078,0.300729
-16.7158,2.7835,0.283638
-16.5949,3.21518,0.306764
-16.4739,3.09011,0.300667
-16.3529,3.01221,0.297469
-16.2319,3.47182,0.320094
-16.1109,3.30183,0.310541
-15.9899,3.10776,0.301976
-15.869,4.00095,0.34089
-15.748,3.79818,0.333931
-15.627,3.86376,0.336606
-15.506,4.23266,0.352457
-15.385,4.28171,0.354863
-15.264,3.83078,0.335803
-15.1431,4.97775,0.384639
-15.0221,4.67593,0.374238
-14.9011,3.69734,0.332173
-14.7801,4.97832,0.384596
-14.6591,4.83985,0.378014
-14.5381,4.7053,0.375051
-14.4172,4.70194,0.374298
-14.2962,5.53946,0.405579
-14.1752,5.27375,0.398251
-14.0542,4.95205,0.385458
-13.9332,5.3298,0.400835
-13.8122,5.92052,0.423582
-13.6913,5.77049,0.417788
-13.5703,5.51856,0.407242
-13.4493,6.20875,0.433471
-13.3283,6.45877,0.441499
-13.2073,5.87026,0.42174
-13.0863,5.63338,0.413274
-12.9654,7.05228,0.462424
-12.8444,6.19902,0.43413
-12.7234,6.4534,0.440643
-12.6024,7.31965,0.471055
-12.4814,7.57264,0.479092
-12.3604,6.1497,0.431965
-12.2395,7.26909,0.471859
-12.1185,7.98546,0.493122
-11.9975,8.11803,0.49652
-11.8765,6.9768,0.460626
-11.7555,8.15825,0.501032
-11.6345,7.61331,0.48223
-11.5136,7.30027,0.471416
-11.3926,7.70077,0.483569
-11.2716,7.8671,0.491256
-11.1506,8.82622,0.518683
-11.0296,8.34016,0.506003
-10.9086,8.65097,0.514358
-10.7877,8.57562,0.510707
-10.6667,8.58034,0.512525
-10.5457,9.7713,0.548128
-10.4247,9.47981,0.539347
-10.3037,8.96301,0.523851
-10.1828,9.89032,0.550542
-10.0618,10.8586,0.576186
-9.94078,9.61118,0.544273
-9.8198,10.2318,0.560311
-9.69882,10.5672,0.569934
-9.57783,10.4839,0.567092
-9.45685,10.3519,0.563618
-9.33587,11.1411,0.584797
-9.21488,10.4685,0.566912
-9.0939,10.9232,0.580378
-8.97292,10.9955,0.58128
-8.85194,11.2695,0.590433
-8.73095,12.0205,0.60782
-8.60997,12.5951,0.624035
-8.48899,13.5494,0.64695
-8.368,12.3661,0.618625
-8.24702,12.2247,0.615304
-8.12604,12.686,0.628353
-8.00505,13.8295,0.651344
-7.88407,14.3369,0.666345
-7.76309,14.6652,0.673021
-7.6421,14.0976,0.661135
-7.52112,14.6735,0.675982
-7.40014,14.859,0.680817
-7.27915,15.0896,0.683461
-7.15817,17.2701,0.733034
-7.03719,17.437,0.736411
-6.9162,16.5005,0.717807
-6.79522,17.3975,0.736303
-6.67424,16.9076,0.726254
-6.55326,18.4236,0.758373
-6.43227,18.5633,0.760799
-6.31129,18.2967,0.756606
-6.19031,18.3308,0.758376
-6.06932,18.5612,0.761815
-5.94834,20.3969,0.799329
-5.82736,22.106,0.831914
-5.70637,21.2157,0.814469
-5.58539,23.1574,0.852945
-5.46441,24.1654,0.868623
-5.34342,24.4207,0.875012
-5.22244,25.0705,0.886667
-5.10146,25.9201,0.902822
-4.98047,25.4326,0.893902
-4.85949,26.8852,0.918804
-4.73851,27.4889,0.927903
-4.61752,27.4567,0.929581
-4.49654,28.9124,0.953381
-4.37556,34.3122,1.03796
-4.25457,33.4095,1.0245
-4.13359,35.2622,1.05604
-4.01261,37.291,1.0837
-3.89163,36.5428,1.07177
-3.77064,40.6438,1.13139
-3.64966,43.1565,1.16491
-3.52868,48.056,1.23042
-3.40769,52.3253,1.28192
-3.28671,60.9733,1.38557
-3.16573,67.0097,1.45225
-3.04474,76.1678,1.54839
-2.92376,84.2116,1.6298
-2.80278,96.1256,1.74171
-2.68179,102.511,1.8
-2.56081,117.896,1.9286
-2.43983,135.398,2.06812
-2.31884,152.895,2.20105
-2.19786,180.146,2.39474
-2.07688,205.162,2.55413
-1.95589,236.556,2.7481
-1.83491,266.426,2.91867
-1.71393,306.35,3.14018
-1.59295,346.479,3.34447
-1.47196,404.533,3.62106
-1.35098,453.418,3.84522
-1.23,522.302,4.13308
-1.10901,597.925,4.43571
-0.988029,680.48,4.7527
-0.867046,768.665,5.06488
-0.746063,844.972,5.32534
-0.62508,915.632,5.5679
-0.504097,992.01,5.82087
-0.383113,1005.15,5.86013
-0.26213,1017.01,5.90267
-0.141147,995.285,5.84032
-0.0201639,958.629,5.73295
0.100819,905.676,5.56832
0.221802,855.507,5.42465
0.342786,774.698,5.14032
0.463769,702.42,4.90098
0.584752,615.056,4.57352
0.705735,513.557,4.16574
0.826718,426.502,3.79463
0.947701,348.454,3.42223
1.06868,286.838,3.10252
1.18967,223.072,2.72799
1.31065,177.445,2.43251
1.43163,145.796,2.2008
1.55262,122.13,2.01799
1.6736,104.821,1.86495
1.79458,97.7526,1.80407
1.91557,84.8839,1.68015
2.03655,78.6265,1.61738
2.15753,74.3172,1.57295
2.27852,72.7976,1.55605
2.3995,70.035,1.52821
